age,weight,mane_color,health,alpha
9,182.699,Blonde,Excelent,0
8,210.237,Blonde,Good,0
23,180.41,Blonde with Dark Tips,Excelent,0
17,184.999,Dark Brown,Good,0
27,195.146,Black,Good,0
29,193.66,Reddish-Brown,Great,0
1,208.223,Blonde,Great,0
20,221.076,Black,Good,0
30,183.131,Blonde with Dark Tips,Great,0
7,207.147,Blonde with Dark Tips,Excelent,0
10,208.896,Sandy,Poor,0
19,224.204,Reddish-Brown,Excelent,0
18,186.316,Blonde with Dark Tips,Good,0
10,207.096,Blonde with Dark Tips,Great,0
20,188.59,Blonde with Dark Tips,Good,0
9,209.842,Blonde,Good,0
23,178.089,Black,Poor,0
21,182.058,Blonde,Good,0
30,185.107,Blonde,Great,0
5,185.929,Blonde,Great,0
25,220.349,Blonde,Excelent,0
7,175.69,Black,Good,0
21,201.258,Blonde,Good,0
29,221.85,Blonde,Excelent,0
17,190.874,Blonde,Excelent,0
29,183.893,Sandy,Great,0
15,206.71,Blonde with Dark Tips,Good,0
18,213.498,Blonde with Dark Tips,Great,0
13,202.289,Black,Excelent,0
4,187.131,Blonde,Good,0
16,177.911,Dark Brown,Good,0
2,200.459,Reddish-Brown,Poor,0
29,196.197,Blonde with Dark Tips,Excelent,0
25,180.847,Black,Excelent,0
13,170.882,Sandy,Poor,0
5,204.877,Sandy,Great,0
3,200.735,Blonde,Poor,0
27,219.578,Dark Brown,Great,0
28,195.998,Blonde with Dark Tips,Good,0
27,210.145,Blonde with Dark Tips,Good,0
7,207.157,Sandy,Great,0
14,185.277,Blonde,Good,0
25,184.918,Blonde,Good,0
1,214.626,Sandy,Poor,0
28,214.386,Black,Great,0
12,174.843,Blonde with Dark Tips,Great,0
5,201.306,Blonde with Dark Tips,Excelent,0
20,197.969,Blonde,Great,0
21,199.958,Dark Brown,Excelent,0
26,174.951,Blonde,Great,0
4,185.085,Blonde with Dark Tips,Great,0
14,175.235,Reddish-Brown,Poor,0
3,197.834,Sandy,Good,0
11,198.58,Sandy,Excelent,0
30,213.629,Blonde with Dark Tips,Great,0
15,179.874,Blonde with Dark Tips,Great,0
15,219.962,Blonde,Great,0
14,177.398,Sandy,Good,0
15,173.719,Blonde,Good,0
2,183.497,Dark Brown,Good,0
28,197.106,Dark Brown,Good,0
11,224.833,Blonde,Excelent,0
26,205.643,Blonde,Excelent,0
21,183.059,Blonde with Dark Tips,Great,0
1,223.506,Sandy,Good,0
8,187.705,Blonde with Dark Tips,Excelent,0
1,218.79,Sandy,Good,0
22,178.801,Blonde,Poor,0
5,222.518,Black,Excelent,0
7,220.287,Blonde,Excelent,0
13,171.123,Reddish-Brown,Good,0
21,206.104,Blonde,Excelent,0
6,213.365,Blonde,Great,0
21,192.698,Sandy,Poor,0
10,200.977,Blonde,Poor,0
16,194.078,Sandy,Great,0
11,185.704,Black,Great,0
7,209.682,Blonde with Dark Tips,Poor,0
28,181.63,Blonde,Great,0
14,172.495,Blonde with Dark Tips,Great,0
1,213.325,Blonde,Poor,0
13,218.077,Sandy,Good,0
17,196.598,Reddish-Brown,Poor,0
26,209.752,Blonde,Excelent,0
17,187.048,Blonde,Good,0
12,219.628,Sandy,Excelent,0
27,209.912,Sandy,Great,0
9,193.361,Blonde with Dark Tips,Good,0
23,225.261,Blonde,Great,0
16,192.349,Reddish-Brown,Great,0
10,198.658,Blonde,Excelent,0
13,218.295,Blonde with Dark Tips,Great,0
6,185.545,Blonde with Dark Tips,Good,0
4,209.692,Blonde with Dark Tips,Excelent,0
22,227.861,Sandy,Good,0
2,216.553,Blonde with Dark Tips,Great,0
23,176.16,Sandy,Poor,0
6,222.244,Blonde,Excelent,0
22,214.527,Sandy,Great,0
