age,weight,mane_color,health,alpha
23,217.29,Dark Brown,Great,0
17,172.589,Blonde,Great,0
13,195.945,Sandy,Poor,0
6,209.651,Blonde,Good,0
24,211.341,Blonde with Dark Tips,Good,0
29,194.99,Blonde,Poor,0
2,208.222,Black,Great,0
26,204.196,Blonde,Poor,0
2,210.266,Blonde,Good,0
12,188.804,Black,Great,0
27,217.75,Dark Brown,Poor,0
16,208.398,Sandy,Great,0
16,228.462,Blonde,Poor,0
26,216.064,Sandy,Great,0
3,207.999,Black,Good,0
4,180.475,Sandy,Great,0
10,179.011,Reddish-Brown,Great,0
11,195.66,Sandy,Great,0
25,190.695,Sandy,Excelent,0
11,198.216,Black,Good,0
28,201.694,Blonde,Excelent,0
19,219.968,Sandy,Good,0
21,212.423,Blonde with Dark Tips,Poor,0
30,200.735,Black,Good,0
3,199.304,Reddish-Brown,Great,0
24,222.453,Blonde with Dark Tips,Good,0
26,218.6,Blonde with Dark Tips,Good,0
10,205.177,Blonde,Good,0
2,209.016,Blonde,Excelent,0
9,175.032,Black,Great,0
22,188.989,Dark Brown,Great,0
5,204.948,Blonde,Good,0
4,210.55,Blonde,Excelent,0
21,208.386,Black,Great,0
6,199.612,Blonde,Great,0
16,213.183,Blonde,Poor,0
3,192.344,Blonde with Dark Tips,Great,0
7,184.615,Dark Brown,Great,0
10,217.871,Blonde,Excelent,0
26,217.302,Blonde,Excelent,0
16,222.219,Sandy,Great,0
26,199.739,Blonde,Excelent,0
2,192.164,Black,Good,0
9,205.926,Blonde with Dark Tips,Great,0
7,214.741,Blonde,Excelent,0
26,174.092,Reddish-Brown,Great,0
20,210.449,Blonde with Dark Tips,Excelent,0
15,222.096,Black,Great,0
16,192.33,Black,Good,0
3,178.285,Blonde with Dark Tips,Good,0
9,211.422,Blonde with Dark Tips,Excelent,0
7,218.338,Reddish-Brown,Great,0
22,207.027,Black,Excelent,0
4,187.083,Blonde,Great,0
4,218.871,Black,Great,0
28,177.194,Blonde with Dark Tips,Good,0
9,185.066,Blonde with Dark Tips,Good,0
17,227.218,Sandy,Excelent,0
14,227.714,Blonde,Good,0
12,219.631,Sandy,Excelent,0
13,229.258,Blonde with Dark Tips,Great,0
4,209.004,Reddish-Brown,Excelent,0
14,205.591,Blonde with Dark Tips,Good,0
26,221.517,Blonde,Great,0
11,192.4,Black,Great,0
19,185.018,Black,Great,0
26,206.923,Blonde,Great,0
14,195.334,Dark Brown,Great,0
26,187.107,Blonde,Good,0
14,172.728,Reddish-Brown,Great,0
18,217.568,Sandy,Excelent,0
27,221.759,Dark Brown,Poor,0
30,191.52,Reddish-Brown,Great,0
28,177.26,Dark Brown,Great,0
12,170.323,Black,Great,0
23,193.371,Sandy,Excelent,0
10,223.733,Dark Brown,Great,0
1,210.281,Sandy,Excelent,0
6,227.686,Blonde,Excelent,0
17,225.576,Blonde with Dark Tips,Poor,0
26,194.299,Black,Excelent,0
21,187.969,Sandy,Great,0
19,228.972,Black,Poor,0
4,221.226,Reddish-Brown,Great,0
3,221.882,Sandy,Poor,0
18,212.403,Blonde with Dark Tips,Great,0
4,222.424,Sandy,Good,0
5,210.112,Blonde,Great,0
16,177.857,Dark Brown,Good,0
28,189.098,Sandy,Great,0
5,183.888,Sandy,Great,0
12,202.899,Sandy,Excelent,0
8,224.583,Dark Brown,Good,0
23,176.567,Dark Brown,Good,0
28,214.943,Sandy,Excelent,0
15,209.204,Sandy,Good,0
14,187.074,Reddish-Brown,Excelent,0
13,196.489,Blonde with Dark Tips,Great,0
9,212.399,Reddish-Brown,Poor,0
29,171.217,Blonde with Dark Tips,Poor,0
21,215.697,Blonde with Dark Tips,Great,0
2,177.562,Reddish-Brown,Great,0
8,177.249,Blonde with Dark Tips,Great,0
18,191.427,Blonde,Great,0
22,185.401,Blonde,Great,0
25,188.208,Blonde with Dark Tips,Good,0
14,183.423,Sandy,Great,0
27,196.824,Sandy,Great,0
29,199.9,Black,Good,0
30,222.568,Sandy,Great,0
