age,weight,mane_color,health,alpha
30,183.757,Blonde,Good,0
8,221.229,Sandy,Excelent,0
7,213.35,Blonde,Great,0
2,228.944,Blonde with Dark Tips,Excelent,0
12,192.079,Reddish-Brown,Great,0
8,174.08,Reddish-Brown,Great,0
25,192.519,Sandy,Good,0
4,204.961,Blonde,Good,0
14,192.094,Sandy,Good,0
5,218.798,Blonde with Dark Tips,Poor,0
7,193.077,Blonde,Great,0
11,219.045,Sandy,Excelent,0
10,214.537,Blonde,Great,0
7,209.788,Blonde with Dark Tips,Great,0
15,208.018,Sandy,Good,0
15,200.411,Black,Excelent,0
6,203.183,Blonde with Dark Tips,Good,0
21,192.798,Sandy,Good,0
17,196.044,Sandy,Great,0
11,196.565,Blonde,Great,0
29,173.431,Sandy,Good,0
10,206.849,Reddish-Brown,Great,0
18,221.02,Dark Brown,Good,0
2,170.88,Blonde,Poor,0
13,202.58,Sandy,Good,0
26,189.065,Dark Brown,Good,0
14,185.147,Black,Great,0
16,202.738,Sandy,Excelent,0
30,197.595,Blonde with Dark Tips,Good,0
7,210.94,Reddish-Brown,Great,0
3,202.094,Blonde,Poor,0
19,190.511,Reddish-Brown,Great,0
21,176.109,Blonde with Dark Tips,Good,0
1,220.552,Reddish-Brown,Poor,0
29,206.734,Reddish-Brown,Excelent,0
18,184.213,Sandy,Great,0
7,213.889,Blonde,Excelent,0
18,192.038,Blonde,Great,0
20,204.807,Blonde,Great,0
9,198.513,Blonde,Great,0
18,192.983,Reddish-Brown,Great,0
23,182.199,Blonde with Dark Tips,Great,0
21,180.605,Blonde with Dark Tips,Good,0
10,182.122,Dark Brown,Great,0
23,187.733,Blonde,Great,0
16,221.114,Dark Brown,Poor,0
12,211.182,Reddish-Brown,Great,1
22,196.306,Blonde with Dark Tips,Excelent,0
16,180.912,Dark Brown,Great,0
28,214.393,Reddish-Brown,Good,0
22,222.824,Blonde with Dark Tips,Excelent,0
24,182.812,Dark Brown,Excelent,0
5,179.181,Dark Brown,Great,0
18,180.815,Sandy,Great,0
28,207.65,Dark Brown,Good,0
24,185.415,Sandy,Great,0
1,197.558,Reddish-Brown,Great,0
4,210.022,Blonde,Excelent,0
21,205.06,Blonde with Dark Tips,Good,0
7,227.466,Blonde with Dark Tips,Good,0
3,191.983,Reddish-Brown,Great,0
30,223.23,Blonde with Dark Tips,Great,0
21,210.307,Blonde with Dark Tips,Great,0
9,214.057,Blonde,Excelent,0
29,183.565,Blonde with Dark Tips,Great,0
10,197.027,Sandy,Great,0
8,181.207,Blonde with Dark Tips,Great,0
28,204.963,Blonde with Dark Tips,Excelent,0
23,181.542,Blonde,Excelent,0
11,223.597,Sandy,Poor,0
21,180.142,Blonde,Excelent,0
28,215.136,Sandy,Great,0
18,185.691,Sandy,Poor,0
4,190.569,Black,Excelent,0
16,229.276,Blonde,Great,0
1,199.581,Blonde,Good,0
16,223.851,Black,Great,0
19,224.897,Blonde,Good,0
5,185.77,Blonde with Dark Tips,Great,0
13,207.335,Blonde,Excelent,0
30,212.979,Blonde,Great,0
20,208.767,Blonde with Dark Tips,Great,0
2,224.561,Blonde,Good,0
21,188.246,Blonde,Great,0
22,207.577,Blonde,Great,0
19,195.95,Dark Brown,Good,0
12,217.304,Blonde,Excelent,0
3,228.206,Sandy,Great,0
25,199.571,Blonde,Good,0
6,194.06,Sandy,Excelent,0
6,202.46,Blonde,Great,0
8,223.358,Sandy,Excelent,0
24,210.826,Sandy,Excelent,0
30,192.266,Sandy,Great,0
1,175.173,Dark Brown,Great,0
21,201.114,Sandy,Great,0
13,223.497,Sandy,Excelent,0
10,179.808,Blonde,Poor,0
30,179.675,Dark Brown,Great,0
14,217.032,Blonde with Dark Tips,Excelent,0
15,228.446,Blonde,Good,0
14,218.114,Blonde,Good,0
15,195.469,Sandy,Great,0
1,183.565,Blonde,Excelent,0
4,217.03,Blonde,Great,0
26,188.522,Dark Brown,Good,0
21,200.394,Blonde with Dark Tips,Excelent,0
6,197.627,Black,Great,0
8,193.89,Black,Excelent,0
8,218.454,Blonde,Great,0
28,222.3,Sandy,Excelent,0
27,214.636,Blonde with Dark Tips,Great,0
19,225.634,Dark Brown,Excelent,0
25,228.349,Sandy,Good,0
30,174.406,Black,Good,0
3,186.806,Dark Brown,Great,0
2,187.393,Black,Great,0
25,197.702,Reddish-Brown,Excelent,0
16,184.376,Sandy,Poor,0
1,229.369,Blonde with Dark Tips,Great,0
5,221.821,Blonde,Great,0
28,171.425,Dark Brown,Good,0
12,180.269,Reddish-Brown,Poor,0
23,176.935,Sandy,Good,0
24,215.824,Sandy,Great,0
6,197.777,Blonde with Dark Tips,Poor,0
1,209.962,Reddish-Brown,Good,0
9,223.21,Black,Good,0
1,194.198,Blonde,Poor,0
13,227.113,Black,Poor,0
1,229.883,Black,Good,0
22,190.156,Sandy,Great,0
17,189.694,Blonde,Excelent,0
10,221.072,Blonde with Dark Tips,Good,0
3,193.268,Blonde,Excelent,0
13,213.504,Sandy,Good,0
4,199.153,Blonde with Dark Tips,Excelent,0
26,172.112,Blonde with Dark Tips,Great,0
7,184.179,Blonde,Great,0
21,192.371,Blonde,Great,0
5,226.896,Blonde with Dark Tips,Good,0
16,188.283,Dark Brown,Good,0
27,201.79,Dark Brown,Excelent,0
9,209.904,Blonde with Dark Tips,Great,0
29,216.775,Blonde with Dark Tips,Great,0
23,187.892,Blonde with Dark Tips,Great,0
5,191.923,Dark Brown,Great,0
4,179.669,Blonde with Dark Tips,Great,0
26,218.226,Blonde,Great,0
24,201.922,Blonde,Great,0
17,210.023,Blonde,Poor,0
26,199.896,Dark Brown,Good,0
25,221.62,Blonde,Good,0
23,203.331,Blonde with Dark Tips,Poor,0
16,171.292,Black,Poor,0
11,206.792,Blonde,Excelent,0
8,206.279,Black,Great,0
21,179.961,Black,Great,0
23,179.475,Blonde,Excelent,0
9,176.766,Blonde,Excelent,0
25,206.104,Reddish-Brown,Poor,0
27,179.364,Blonde with Dark Tips,Good,0
5,186.086,Blonde,Excelent,0
12,178.616,Sandy,Excelent,0
20,225.792,Blonde,Excelent,0
15,219.641,Sandy,Great,0
1,178.614,Sandy,Excelent,0
12,187.202,Sandy,Excelent,0
22,226.542,Blonde,Great,0
18,178.749,Sandy,Good,0
23,215.929,Reddish-Brown,Excelent,0
25,224.933,Blonde with Dark Tips,Great,0
25,227.306,Sandy,Good,0
3,202.338,Reddish-Brown,Good,0
8,185.441,Sandy,Great,0
14,200.251,Sandy,Poor,0
1,184.655,Reddish-Brown,Great,0
19,218.198,Dark Brown,Great,1
29,190.101,Blonde,Great,0
24,205.235,Dark Brown,Great,0
11,198.161,Blonde with Dark Tips,Great,0
10,226.819,Blonde with Dark Tips,Excelent,0
27,217.818,Sandy,Poor,0
17,214.851,Black,Excelent,0
2,187.171,Blonde with Dark Tips,Great,0
18,196.86,Sandy,Great,0
29,216.299,Sandy,Good,0
1,223.234,Black,Excelent,0
10,197.389,Reddish-Brown,Good,0
7,183.39,Blonde,Good,0
7,172.45,Blonde with Dark Tips,Excelent,0
28,170.94,Blonde with Dark Tips,Great,0
6,184.511,Black,Good,0
22,172.221,Blonde,Great,0
30,201.393,Black,Poor,0
14,192.622,Dark Brown,Poor,0
4,211.925,Blonde,Great,0
2,182.677,Blonde with Dark Tips,Good,0
17,220.215,Blonde with Dark Tips,Good,0
20,186.643,Blonde,Poor,0
20,192.589,Blonde,Great,0
23,197.136,Blonde,Excelent,0
28,203.284,Dark Brown,Good,0
11,219.607,Dark Brown,Poor,0
4,225.417,Blonde,Great,0
26,217.651,Dark Brown,Great,0
30,213.17,Sandy,Excelent,0
20,172.978,Dark Brown,Poor,0
2,186.626,Black,Good,0
13,182.088,Sandy,Good,0
9,204.412,Sandy,Good,0
22,197.619,Sandy,Excelent,0
3,181.663,Blonde with Dark Tips,Excelent,0
29,181.102,Dark Brown,Excelent,0
5,225.309,Blonde,Great,0
23,218.745,Black,Excelent,0
30,173.13,Blonde with Dark Tips,Poor,0
28,201.246,Dark Brown,Good,0
25,212.315,Blonde,Great,0
17,208.268,Blonde with Dark Tips,Excelent,0
1,206.291,Blonde with Dark Tips,Excelent,0
25,196.987,Blonde,Good,0
26,173.371,Sandy,Good,0
9,199.961,Reddish-Brown,Good,0
26,187.4,Sandy,Excelent,0
7,196.131,Dark Brown,Excelent,0
20,228.202,Blonde,Good,0
14,214.893,Sandy,Great,0
15,216.64,Black,Great,1
29,226.015,Sandy,Excelent,0
1,222.935,Dark Brown,Good,0
19,190.777,Blonde with Dark Tips,Good,0
30,175.801,Blonde,Great,0
3,195.256,Reddish-Brown,Good,0
8,203.917,Dark Brown,Great,0
17,190.837,Blonde,Great,0
16,212.974,Blonde,Excelent,0
16,212.047,Blonde,Great,0
26,216.174,Sandy,Poor,0
2,217.695,Sandy,Great,0
7,172.139,Blonde with Dark Tips,Excelent,0
4,207.41,Blonde with Dark Tips,Good,0
2,224.198,Blonde with Dark Tips,Poor,0
23,206.366,Sandy,Great,0
6,184.028,Black,Great,0
28,228.774,Dark Brown,Excelent,0
