age,weight,mane_color,health,alpha
14,181.213,Sandy,Poor,0
22,225.379,Blonde,Great,0
29,212.587,Sandy,Excelent,0
18,189.985,Sandy,Good,0
15,223.104,Dark Brown,Great,0
1,189.354,Dark Brown,Poor,0
29,229.198,Sandy,Great,0
27,194.259,Black,Poor,0
2,201.466,Blonde,Good,0
6,197.401,Blonde,Excelent,0
22,216.405,Sandy,Good,0
20,196.008,Blonde with Dark Tips,Good,0
23,181.633,Blonde with Dark Tips,Great,0
28,196.161,Dark Brown,Excelent,0
13,195.52,Dark Brown,Poor,0
8,189.764,Sandy,Excelent,0
22,218.764,Blonde,Good,0
30,220.017,Blonde,Good,0
28,194.59,Blonde,Good,0
9,210.458,Sandy,Good,0
6,174.361,Blonde,Poor,0
14,190.482,Reddish-Brown,Poor,0
15,224.515,Reddish-Brown,Good,0
21,189.071,Reddish-Brown,Great,0
2,173.205,Black,Poor,0
4,203.876,Blonde,Good,0
19,208.358,Sandy,Excelent,0
23,229.902,Blonde,Poor,0
8,172.202,Blonde,Good,0
25,200.344,Blonde with Dark Tips,Great,0
7,200.992,Reddish-Brown,Good,0
21,206.484,Blonde,Good,0
16,205.72,Dark Brown,Great,1
26,174.801,Blonde with Dark Tips,Great,0
3,226.908,Blonde with Dark Tips,Great,0
22,183.287,Blonde,Good,0
10,195.558,Blonde with Dark Tips,Great,0
26,178.023,Black,Great,0
30,200.399,Blonde,Good,0
5,171.132,Sandy,Excelent,0
25,214.693,Blonde,Great,0
13,224.886,Blonde,Poor,0
25,210.18,Blonde,Great,0
4,184.066,Black,Poor,0
23,205.545,Sandy,Good,0
10,171.014,Black,Good,0
26,208.332,Sandy,Good,0
22,220.293,Blonde,Great,0
3,222.591,Black,Excelent,0
4,214.976,Reddish-Brown,Great,0
21,170.287,Blonde with Dark Tips,Excelent,0
9,218.478,Sandy,Good,0
5,173.192,Blonde,Good,0
16,195.479,Blonde with Dark Tips,Excelent,0
23,186.888,Black,Good,0
6,191.386,Blonde,Excelent,0
16,193.751,Reddish-Brown,Excelent,0
21,206.116,Blonde with Dark Tips,Good,0
18,185.798,Blonde,Great,0
30,220.103,Blonde with Dark Tips,Good,0
30,225.236,Blonde with Dark Tips,Poor,0
24,184.204,Blonde,Great,0
13,211.214,Blonde with Dark Tips,Excelent,0
10,180.216,Black,Good,0
17,195.014,Blonde with Dark Tips,Poor,0
25,218.274,Sandy,Excelent,0
9,180.549,Sandy,Poor,0
8,211.135,Blonde,Good,0
30,180.823,Blonde with Dark Tips,Good,0
15,192.976,Dark Brown,Excelent,0
18,229.381,Blonde,Excelent,0
11,216.138,Blonde,Great,0
20,221.547,Blonde,Great,0
19,203.622,Blonde with Dark Tips,Great,0
1,192.133,Reddish-Brown,Great,0
30,200.569,Blonde,Good,0
8,213.016,Sandy,Good,0
2,213.508,Blonde with Dark Tips,Poor,0
11,181.728,Blonde,Great,0
28,225.842,Blonde,Great,0
24,190.004,Reddish-Brown,Good,0
23,198.971,Blonde,Great,0
26,194.543,Sandy,Good,0
7,175.182,Blonde with Dark Tips,Excelent,0
14,200.25,Blonde with Dark Tips,Poor,0
14,180.652,Reddish-Brown,Good,0
28,216.905,Blonde,Excelent,0
25,181.683,Blonde,Good,0
16,219.09,Blonde,Excelent,0
17,188.011,Blonde with Dark Tips,Excelent,0
13,228.437,Reddish-Brown,Excelent,0
1,182.562,Blonde with Dark Tips,Good,0
3,221.681,Reddish-Brown,Good,0
23,217.8,Blonde with Dark Tips,Poor,0
21,177.061,Dark Brown,Excelent,0
18,172.197,Blonde,Poor,0
19,228.645,Black,Great,0
25,226.352,Sandy,Poor,0
22,207.489,Dark Brown,Great,0
22,190.43,Blonde,Excelent,0
5,210.163,Blonde,Good,0
25,206.855,Sandy,Good,0
1,204.069,Black,Good,0
7,219.117,Sandy,Excelent,0
2,221.037,Blonde,Poor,0
27,178.329,Blonde,Excelent,0
26,187.857,Reddish-Brown,Good,0
13,221.264,Blonde with Dark Tips,Good,0
17,211.825,Sandy,Poor,0
25,228.37,Dark Brown,Great,0
15,215.434,Blonde,Poor,0
7,189.709,Blonde,Great,0
21,215.284,Blonde,Great,0
11,186.689,Sandy,Good,0
8,179.689,Reddish-Brown,Good,0
16,195.991,Blonde,Great,0
30,221.357,Blonde,Good,0
15,179.23,Black,Poor,0
8,207.882,Blonde,Excelent,0
23,229.251,Dark Brown,Excelent,0
18,212.972,Blonde,Excelent,0
5,182.07,Blonde with Dark Tips,Poor,0
1,173.372,Blonde,Good,0
14,173.732,Blonde,Great,0
7,179.641,Blonde,Poor,0
20,208.023,Blonde,Great,0
17,189.58,Sandy,Good,0
2,170.454,Blonde,Great,0
14,177.623,Blonde,Good,0
2,178.664,Dark Brown,Excelent,0
14,215.203,Blonde with Dark Tips,Great,0
17,216.565,Sandy,Great,0
9,185.241,Dark Brown,Excelent,0
16,184.63,Blonde,Good,0
11,178.973,Sandy,Excelent,0
5,224.189,Sandy,Great,0
21,187.301,Blonde with Dark Tips,Excelent,0
