age,weight,mane_color,health,alpha
11,228.054,Blonde,Good,0
8,210.415,Blonde with Dark Tips,Good,0
14,228.066,Black,Poor,0
2,228.262,Sandy,Excelent,0
20,202.18,Blonde with Dark Tips,Great,0
26,195.553,Blonde,Great,0
17,215.745,Black,Poor,0
24,225.624,Blonde,Good,0
15,211.689,Blonde,Excelent,0
22,216.196,Sandy,Poor,0
15,175.359,Black,Good,0
14,184.72,Blonde with Dark Tips,Great,0
13,222.944,Blonde with Dark Tips,Excelent,0
9,176.967,Reddish-Brown,Great,0
22,170.103,Blonde,Great,0
26,211.279,Dark Brown,Excelent,0
12,198.491,Blonde,Excelent,0
26,209.625,Blonde with Dark Tips,Good,0
17,226.351,Blonde,Poor,0
28,171.604,Blonde,Great,0
25,223.94,Blonde with Dark Tips,Good,0
29,180.522,Blonde,Good,0
26,175.765,Sandy,Excelent,0
25,188.668,Black,Good,0
21,189.232,Sandy,Excelent,0
5,194.121,Dark Brown,Poor,0
14,223.25,Sandy,Excelent,0
16,229.081,Black,Great,0
14,181.421,Blonde,Great,0
19,179.827,Sandy,Great,0
10,180.587,Reddish-Brown,Great,0
13,211.518,Black,Great,0
17,205.889,Blonde,Good,0
12,175.981,Black,Good,0
7,183.912,Blonde,Poor,0
12,202.525,Blonde,Excelent,0
19,204.077,Blonde with Dark Tips,Good,0
24,185.781,Reddish-Brown,Great,0
27,184.829,Blonde with Dark Tips,Excelent,0
10,200.296,Blonde,Great,0
4,193.341,Blonde with Dark Tips,Excelent,0
29,212.415,Sandy,Excelent,0
28,205.074,Dark Brown,Excelent,0
20,223.084,Sandy,Excelent,0
24,211.219,Sandy,Great,0
25,182.704,Sandy,Poor,0
30,184.807,Blonde,Poor,0
27,172.921,Blonde,Good,0
27,186.713,Blonde with Dark Tips,Good,0
29,187.715,Sandy,Great,0
1,229.17,Sandy,Excelent,0
6,218.507,Sandy,Great,0
19,189.331,Blonde with Dark Tips,Excelent,0
6,229.507,Blonde with Dark Tips,Good,0
22,227.549,Blonde,Excelent,0
23,177.416,Blonde,Excelent,0
23,173.829,Reddish-Brown,Excelent,0
25,179.701,Dark Brown,Good,0
29,179.324,Blonde,Good,0
8,209.588,Sandy,Great,0
28,201.708,Black,Good,0
2,184.475,Blonde,Excelent,0
26,213.058,Blonde,Good,0
19,188.241,Blonde,Great,0
4,175.906,Blonde with Dark Tips,Excelent,0
29,186.685,Blonde,Great,0
7,194.898,Dark Brown,Great,0
20,188.324,Blonde with Dark Tips,Great,0
9,178.945,Sandy,Great,0
6,219.332,Blonde with Dark Tips,Great,0
30,182.433,Sandy,Excelent,0
28,219.931,Blonde,Great,0
10,227.172,Blonde,Excelent,0
25,222.423,Sandy,Good,0
21,179.982,Reddish-Brown,Good,0
9,210.486,Sandy,Great,0
13,220.318,Reddish-Brown,Great,0
11,180.694,Blonde with Dark Tips,Good,0
7,214.14,Sandy,Poor,0
6,191.776,Blonde,Great,0
22,174.127,Sandy,Great,0
10,181.448,Blonde with Dark Tips,Good,0
13,195.596,Sandy,Excelent,0
2,220.16,Sandy,Good,0
26,193.312,Blonde with Dark Tips,Excelent,0
6,186.678,Dark Brown,Great,0
2,178.573,Blonde,Poor,0
17,192.962,Blonde with Dark Tips,Excelent,0
10,214.571,Sandy,Great,0
6,173.312,Blonde,Good,0
